ALTITUDE:112.485824994044| MASS:75.8969268798828| VERTICALSPEED :10.7018152316993| GROUNDSPEED :0.0470433768718748|PRESS :0.000595883770388195| APOAPSIS :107.470953900483
ALTITUDE:113.137165496126| MASS:75.866569519043| VERTICALSPEED :10.9325083460428| GROUNDSPEED :0.0484467731221194|PRESS :0.000622807266301018| APOAPSIS :108.378601633245
ALTITUDE:113.802350789425| MASS:75.8362045288086| VERTICALSPEED :11.163534916338| GROUNDSPEED :0.0498667080007603|PRESS :0.000650362707652252| APOAPSIS :109.305943495478
ALTITUDE:114.4814133771| MASS:75.8058471679688| VERTICALSPEED :11.3948959437605| GROUNDSPEED :0.0513039762019335|PRESS :0.00067855247238031| APOAPSIS :110.253024565289
ALTITUDE:115.17435973871| MASS:75.7754898071289| VERTICALSPEED :11.6265908649802| GROUNDSPEED :0.0527572640999667|PRESS :0.000707378797326733| APOAPSIS :111.219886075123
ALTITUDE:115.881227995851| MASS:75.7451248168945| VERTICALSPEED :11.8586206762911| GROUNDSPEED :0.0542254275264395|PRESS :0.000736844167420215| APOAPSIS :112.20657610835
ALTITUDE:116.602025731816| MASS:75.7147674560547| VERTICALSPEED :12.0909861413914| GROUNDSPEED :0.0557082104035447|PRESS :0.00076695070307601| APOAPSIS :113.213138437248
ALTITUDE:117.33678867924| MASS:75.6844100952148| VERTICALSPEED :12.3236862811037| GROUNDSPEED :0.0572061625248964|PRESS :0.000797701005140848| APOAPSIS :114.239615789731
ALTITUDE:118.085522355046| MASS:75.6540451049805| VERTICALSPEED :12.5567230696702| GROUNDSPEED :0.0587175953661658|PRESS :0.000829097213986747| APOAPSIS :115.286055465112
ALTITUDE:118.848263586755| MASS:75.6236877441406| VERTICALSPEED :12.7900958449081| GROUNDSPEED :0.060242046201461|PRESS :0.000861141849706148| APOAPSIS :116.352500498644
ALTITUDE:119.625012569712| MASS:75.5933303833008| VERTICALSPEED :13.023805944117| GROUNDSPEED :0.0617789792152695|PRESS :0.000893837073027339| APOAPSIS :117.438997448073
ALTITUDE:120.415797693073| MASS:75.5629653930664| VERTICALSPEED :13.2578530336746| GROUNDSPEED :0.063328467303826|PRESS :0.000927185497667522| APOAPSIS :118.545590670314
ALTITUDE:121.220632820507| MASS:75.5326080322266| VERTICALSPEED :13.4922376286598| GROUNDSPEED :0.0648883464317012|PRESS :0.00096118937733229| APOAPSIS :119.672324972693
ALTITUDE:122.039547716849| MASS:75.5022506713867| VERTICALSPEED :13.7269606381239| GROUNDSPEED :0.0664586197468194|PRESS :0.000995850961103404| APOAPSIS :120.81924729771
ALTITUDE:122.872559074196| MASS:75.4718856811523| VERTICALSPEED :13.9620216631221| GROUNDSPEED :0.0680395984749337|PRESS :0.00103117264855354| APOAPSIS :121.986398147885
ALTITUDE:123.719689290854| MASS:75.4415283203125| VERTICALSPEED :14.1974220575392| GROUNDSPEED :0.0696298225811175|PRESS :0.00106715687233713| APOAPSIS :123.173828795087
ALTITUDE:124.580961652217| MASS:75.4111709594727| VERTICALSPEED :14.4331612777468| GROUNDSPEED :0.0712285892243242|PRESS :0.0011038058621091| APOAPSIS :124.381583487964
ALTITUDE:125.456389807281| MASS:75.3808059692383| VERTICALSPEED :14.6692400030329| GROUNDSPEED :0.072835627194539|PRESS :0.00114112201901278| APOAPSIS :125.609706169693
ALTITUDE:126.345996165648| MASS:75.3504486083984| VERTICALSPEED :14.9056588515886| GROUNDSPEED :0.0744497248233433|PRESS :0.00117910784148653| APOAPSIS :126.858243215596
ALTITUDE:127.24979848892| MASS:75.3200912475586| VERTICALSPEED :15.1424176169669| GROUNDSPEED :0.0760713037133122|PRESS :0.00121776529691621| APOAPSIS :128.127240576083
ALTITUDE:128.167819189955| MASS:75.2897262573242| VERTICALSPEED :15.3795176593898| GROUNDSPEED :0.0776989801917961|PRESS :0.00125709707941494| APOAPSIS :129.41674409085
ALTITUDE:129.100081440294| MASS:75.2593688964844| VERTICALSPEED :15.6169589164405| GROUNDSPEED :0.0793312178999103|PRESS :0.00129710569361995| APOAPSIS :130.72680220555
ALTITUDE:130.046596938977| MASS:75.2290115356445| VERTICALSPEED :15.854741345619| GROUNDSPEED :0.0809691828835934|PRESS :0.00133779269258558| APOAPSIS :132.057455932256
ALTITUDE:131.007400767761| MASS:75.1986465454102| VERTICALSPEED :16.0928662450348| GROUNDSPEED :0.0826124276758183|PRESS :0.00137916128600082| APOAPSIS :133.408755514189
ALTITUDE:131.982508635381| MASS:75.1682891845703| VERTICALSPEED :16.3313338281428| GROUNDSPEED :0.0842591608890061|PRESS :0.0014212134851553| APOAPSIS :134.780747760786
ALTITUDE:132.971928003943| MASS:75.1379241943359| VERTICALSPEED :16.5701437761444| GROUNDSPEED :0.0859092918329425|PRESS :0.00146395163069946| APOAPSIS :136.17347683874
ALTITUDE:133.975703268196| MASS:75.1075668334961| VERTICALSPEED :16.8092976209916| GROUNDSPEED :0.0875617347980938|PRESS :0.00150737797644001| APOAPSIS :137.586991818156
ALTITUDE:134.993836607202| MASS:75.0772094726563| VERTICALSPEED :17.0487940608417| GROUNDSPEED :0.0892168550473421|PRESS :0.00155149503939299| APOAPSIS :139.021337727201
ALTITUDE:136.026349016349| MASS:75.0468444824219| VERTICALSPEED :17.2886349470575| GROUNDSPEED :0.0908747417596824|PRESS :0.0015963054416223| APOAPSIS :140.476559938281
ALTITUDE:137.073267239844| MASS:75.016487121582| VERTICALSPEED :17.5288201567383| GROUNDSPEED :0.0925333248526834|PRESS :0.00164181070162457| APOAPSIS :141.952708604746
ALTITUDE:138.134612300899| MASS:74.9861297607422| VERTICALSPEED :17.7693503369017| GROUNDSPEED :0.0941943291494013|PRESS :0.00168801364702593| APOAPSIS :143.449827637407
ALTITUDE:139.210396970506| MASS:74.9557647705078| VERTICALSPEED :18.0102255743606| GROUNDSPEED :0.0958551315108188|PRESS :0.00173491695289646| APOAPSIS :144.96796648379
ALTITUDE:140.30065384612| MASS:74.925407409668| VERTICALSPEED :18.2514463630215| GROUNDSPEED :0.0975165833918214|PRESS :0.00178252231093585| APOAPSIS :146.507172745653
ALTITUDE:141.405403174111| MASS:74.8950500488281| VERTICALSPEED :18.4930126540435| GROUNDSPEED :0.0991785999126476|PRESS :0.00183083248470622| APOAPSIS :148.067490298767
ALTITUDE:142.524656735477| MASS:74.8646850585938| VERTICALSPEED :18.7349252996099| GROUNDSPEED :0.100840569822916|PRESS :0.00187985000312431| APOAPSIS :149.648969912669
ALTITUDE:143.658434587764| MASS:74.8343276977539| VERTICALSPEED :18.9771852842168| GROUNDSPEED :0.102502795425794|PRESS :0.0019295761494247| APOAPSIS :151.251657821005
ALTITUDE:144.806763053406| MASS:74.8039703369141| VERTICALSPEED :19.2197914884368| GROUNDSPEED :0.104163902366513|PRESS :0.00198001432434618| APOAPSIS :152.875599911669
ALTITUDE:145.969659215072| MASS:74.7736053466797| VERTICALSPEED :19.4627457592476| GROUNDSPEED :0.105824395866874|PRESS :0.00203116641931471| APOAPSIS :154.520849516382
ALTITUDE:147.147151367855| MASS:74.7432479858398| VERTICALSPEED :19.7060484986283| GROUNDSPEED :0.1074848971614|PRESS :0.00208303524290951| APOAPSIS :156.187449935125
ALTITUDE:148.339247384924| MASS:74.712890625| VERTICALSPEED :19.949700361755| GROUNDSPEED :0.109143559073676|PRESS :0.00213562231671918| APOAPSIS :157.875451358967
ALTITUDE:149.545983988908| MASS:74.6825256347656| VERTICALSPEED :20.1936995019731| GROUNDSPEED :0.110803505232631|PRESS :0.00218893124597328| APOAPSIS :159.584897415945
ALTITUDE:150.767372974311| MASS:74.6521682739258| VERTICALSPEED :20.4380471722562| GROUNDSPEED :0.112461611115305|PRESS :0.00224296269733684| APOAPSIS :161.315839241957
ALTITUDE:152.003448917647| MASS:74.6218109130859| VERTICALSPEED :20.6827464040997| GROUNDSPEED :0.11411919889378|PRESS :0.00229772034764676| APOAPSIS :163.068325105705
ALTITUDE:153.25420494331| MASS:74.5914459228516| VERTICALSPEED :20.9277959694606| GROUNDSPEED :0.115776958836227|PRESS :0.00235320574776154| APOAPSIS :164.842406719923
ALTITUDE:154.519676820608| MASS:74.5610885620117| VERTICALSPEED :21.1731934679583| GROUNDSPEED :0.117434088772555|PRESS :0.00240942166260468| APOAPSIS :166.638122937758
ALTITUDE:155.799894005992| MASS:74.5307312011719| VERTICALSPEED :21.418942397076| GROUNDSPEED :0.119091830026432|PRESS :0.00246637025029206| APOAPSIS :168.455531019601
ALTITUDE:157.094869488035| MASS:74.5003662109375| VERTICALSPEED :21.6650431461861| GROUNDSPEED :0.120747780284285|PRESS :0.00252405380340257| APOAPSIS :170.294677945436
ALTITUDE:158.404619939742| MASS:74.4700088500977| VERTICALSPEED :21.9114955755496| GROUNDSPEED :0.122403910947297|PRESS :0.00258247449699264| APOAPSIS :172.155613339855
ALTITUDE:159.729181516683| MASS:74.4396514892578| VERTICALSPEED :22.1582993544566| GROUNDSPEED :0.124059148477039|PRESS :0.0026416348630784| APOAPSIS :174.038381099235
ALTITUDE:161.068541470333| MASS:74.4092864990234| VERTICALSPEED :22.4054558686233| GROUNDSPEED :0.125716410975655|PRESS :0.00270153746644485| APOAPSIS :175.943036184297
ALTITUDE:162.422767134965| MASS:74.3789291381836| VERTICALSPEED :22.652965378523| GROUNDSPEED :0.12737477484357|PRESS :0.00276218393312902| APOAPSIS :177.869623310748
ALTITUDE:163.791855243151| MASS:74.3485641479492| VERTICALSPEED :22.900827651262| GROUNDSPEED :0.129033871361122|PRESS :0.0028235767253824| APOAPSIS :179.818193937303
